state,poverty_rate,unemployment_rate,no_hs_diploma,SES_composite,SES_quartile,high_vulnerability
IA,7.1,4.1,6.6,0.3445257797581159,Q2,0
PA,9.4,4.1,9.0,0.49331635900700194,Q3,0
FL,4.6,2.9,9.9,0.33640992998090385,Q2,0
PA,11.6,6.7,7.6,0.625875238701464,Q3,0
MA,14.5,6.6,15.3,0.8896138340759601,Q4_MostVulnerable,1
CA,2.9,3.8,5.9,0.19562911096965838,Q1_LeastVulnerable,0
HI,11.0,4.9,8.2,0.5484829195841289,Q3,0
KY,9.0,4.2,9.0,0.4899214937407172,Q3,0
OR,6.7,2.3,6.9,0.2501060895395714,Q1_LeastVulnerable,0
CA,4.9,2.9,8.3,0.2757797581158498,Q1_LeastVulnerable,0
NY,13.8,1.2,10.6,0.515860386165924,Q3,0
OH,2.9,2.0,2.7,0.07214088690855082,Q1_LeastVulnerable,0
NY,5.4,3.5,7.2,0.2807129217059198,Q1_LeastVulnerable,0
PA,10.3,5.9,7.4,0.5591449183110545,Q3,0
CO,8.2,4.1,9.5,0.48573095692764695,Q2,0
NE,13.3,6.5,9.3,0.713346064078082,Q4_MostVulnerable,1
VA,4.0,0.0,6.0,0.10439210693825589,Q1_LeastVulnerable,0
NM,12.0,5.5,11.4,0.7297899427116485,Q4_MostVulnerable,1
NM,9.7,2.4,9.4,0.42722257585402074,Q2,0
OK,8.8,2.8,9.9,0.4448864841926586,Q2,0
IN,3.4,2.7,8.1,0.2237958837258646,Q1_LeastVulnerable,0
OH,10.2,7.0,7.8,0.614258434118396,Q3,0
VT,5.1,4.1,7.4,0.3145554848291958,Q2,0
AL,24.0,9.2,10.4,0.8706238064926799,Q4_MostVulnerable,1
TX,4.0,3.2,7.5,0.23785274771907491,Q1_LeastVulnerable,0
FL,3.8,2.1,6.3,0.14444090812645874,Q1_LeastVulnerable,0
MA,10.1,4.2,8.1,0.47888818162529173,Q2,0
TN,1.0,3.0,6.1,0.1270422236367494,Q1_LeastVulnerable,0
TN,4.8,1.4,9.7,0.2806068321663484,Q1_LeastVulnerable,0
TX,7.8,5.2,8.0,0.4846170167621473,Q2,0
VA,7.5,3.7,6.8,0.3385847655421175,Q2,0
MA,2.1,3.9,6.4,0.2027901548907278,Q1_LeastVulnerable,0
NY,13.8,7.6,9.2,0.7505834924676428,Q4_MostVulnerable,1
KY,16.2,4.4,11.8,0.7301082113303629,Q4_MostVulnerable,1
IA,7.8,3.5,11.4,0.5140568639932103,Q3,0
LA,2.0,1.3,6.1,0.08253766178654784,Q1_LeastVulnerable,0
OR,1.4,0.0,1.9,0.012465520899639296,Q1_LeastVulnerable,0
MN,3.8,1.6,3.3,0.08306810948440485,Q1_LeastVulnerable,0
SD,9.8,8.6,10.2,0.7349352853808614,Q4_MostVulnerable,1
OR,3.6,4.0,8.5,0.31349458943348185,Q2,0
AK,3.2,5.8,3.4,0.288616592403989,Q1_LeastVulnerable,0
NY,9.7,6.2,10.8,0.6964778272862295,Q3,0
ME,6.6,2.9,11.0,0.43342881391894766,Q2,0
MA,9.1,4.2,13.3,0.6365902821981753,Q3,0
SD,12.1,6.5,11.7,0.7904731593464884,Q4_MostVulnerable,1
MO,5.5,4.3,8.8,0.3951304901336728,Q2,0
TX,7.0,3.2,4.3,0.24029280712921705,Q1_LeastVulnerable,0
OH,5.3,1.3,11.8,0.3729047315934649,Q2,0
MO,8.0,9.3,7.9,0.6055060471037556,Q3,0
PA,7.2,3.9,6.7,0.33969870570761723,Q2,0
AR,9.8,4.4,9.4,0.5390939953320603,Q3,0
AZ,13.3,6.2,14.7,0.8515276893698281,Q4_MostVulnerable,1
CA,11.6,5.1,15.2,0.76973265436028,Q4_MostVulnerable,1
MD,2.9,3.0,6.7,0.1769043072353066,Q1_LeastVulnerable,0
GA,6.3,5.8,10.1,0.5612136643326968,Q3,0
WI,5.0,3.3,7.6,0.27196053469127945,Q1_LeastVulnerable,0
MS,6.8,2.3,6.3,0.2328665393592192,Q1_LeastVulnerable,0
NC,14.3,6.0,15.1,0.8614470613197538,Q4_MostVulnerable,1
ID,3.5,2.3,5.5,0.12385953744960747,Q1_LeastVulnerable,0
IN,5.2,5.7,10.6,0.5446106513897729,Q3,0
IN,7.2,5.9,11.2,0.637332908975175,Q3,0
OH,5.9,3.9,9.2,0.39597920645024404,Q2,0
MI,4.6,1.5,11.0,0.3304689157649056,Q2,0
MS,9.1,2.9,14.0,0.5721939316783365,Q3,0
NV,7.9,4.4,8.6,0.46042860173986844,Q2,0
PA,5.4,4.1,6.1,0.2802885635476342,Q1_LeastVulnerable,0
CA,2.1,2.1,2.3,0.059516231699554424,Q1_LeastVulnerable,0
PA,11.0,4.6,15.0,0.7250159134309356,Q4_MostVulnerable,1
MO,5.0,2.6,6.6,0.203108423509442,Q1_LeastVulnerable,0
NC,19.4,7.8,17.0,0.967748779970295,Q4_MostVulnerable,1
IN,15.1,3.0,11.1,0.6124018671758964,Q3,0
LA,12.3,4.0,14.2,0.700986632718014,Q3,0
FL,11.4,4.5,9.3,0.5735730956927647,Q3,0
WV,14.4,8.1,9.8,0.793549755994059,Q4_MostVulnerable,1
MI,13.5,4.8,11.3,0.7082537661786548,Q4_MostVulnerable,1
WY,9.4,5.1,8.7,0.5461489497135582,Q3,0
MI,10.4,5.5,11.4,0.6983874389985147,Q3,0
FL,16.2,8.8,13.0,0.9240929344366645,Q4_MostVulnerable,1
MN,9.2,6.6,10.8,0.7011457670273712,Q3,0
AR,4.4,3.2,6.6,0.2176426904307235,Q1_LeastVulnerable,0
TX,13.6,5.4,10.4,0.7095798854232972,Q4_MostVulnerable,1
SD,10.8,4.2,9.2,0.5367600254614895,Q3,0
OK,1.9,2.2,10.0,0.2545088054317844,Q1_LeastVulnerable,0
NJ,7.0,3.4,8.9,0.3860598345003183,Q2,0
NE,5.8,4.6,3.9,0.2875026522384893,Q1_LeastVulnerable,0
WY,15.6,7.3,11.8,0.8654254190536813,Q4_MostVulnerable,1
ID,6.6,4.9,8.5,0.4517823042647995,Q2,0
PA,4.1,5.1,10.8,0.49161892637385957,Q3,0
NE,14.2,9.0,14.1,0.9226076808826651,Q4_MostVulnerable,1
WV,4.8,3.6,5.5,0.21801400381922345,Q1_LeastVulnerable,0
TN,1.8,4.2,10.7,0.38234670061531933,Q2,0
WY,10.2,4.5,10.0,0.5795671546785487,Q3,0
NV,9.2,6.5,12.1,0.7423615531508593,Q4_MostVulnerable,1
FL,8.4,6.1,6.9,0.5092297899427116,Q3,0
MN,9.9,6.5,5.1,0.5101845957988542,Q3,0
OH,12.2,5.8,8.3,0.6247082537661787,Q3,0
PA,9.7,3.9,3.4,0.3406004667939741,Q2,0
AL,5.4,1.5,11.9,0.38314237216210484,Q2,0
MN,3.3,2.9,7.1,0.19382558879694464,Q1_LeastVulnerable,0
GA,1.9,4.9,4.1,0.2207192870782941,Q1_LeastVulnerable,0
TX,11.7,5.0,11.7,0.7065032887757269,Q3,0
CO,6.6,5.2,8.7,0.4778272862295778,Q2,0
NC,5.1,4.8,8.8,0.41549968173138124,Q2,0
GA,2.0,2.2,8.4,0.18809675366008913,Q1_LeastVulnerable,0
IA,6.2,5.8,7.5,0.4526840653511564,Q2,0
VA,10.8,0.9,8.6,0.37714831317632086,Q2,0
GA,9.5,3.0,11.4,0.5296520263102059,Q3,0
CA,4.1,1.9,8.7,0.23387438998514745,Q1_LeastVulnerable,0
CA,6.5,2.7,8.5,0.3177912157861235,Q2,0
MN,4.1,3.7,11.4,0.42515382983237854,Q2,0
NY,1.9,3.0,5.1,0.1164332696796096,Q1_LeastVulnerable,0
IN,17.4,7.8,11.9,0.895820072140887,Q4_MostVulnerable,1
OH,5.0,4.4,8.3,0.366539359219181,Q2,0
CA,14.6,4.9,10.9,0.7150434967112242,Q4_MostVulnerable,1
TX,6.7,2.2,9.3,0.3385317207723319,Q2,0
SD,11.2,6.0,8.9,0.6418947591767452,Q3,0
WI,11.6,4.5,10.0,0.6077869722045407,Q3,0
VA,8.7,2.3,13.1,0.5240292807129218,Q3,0
IA,10.8,6.7,9.6,0.6900063653723741,Q3,0
KY,11.1,7.4,8.9,0.6895289624443031,Q3,0
OR,13.0,8.2,13.8,0.8912051771695312,Q4_MostVulnerable,1
CO,1.8,2.8,3.8,0.09044133248461701,Q1_LeastVulnerable,0
IL,4.6,4.3,5.9,0.2670804158709951,Q1_LeastVulnerable,0
CA,20.7,10.3,16.5,0.9910884786760025,Q4_MostVulnerable,1
MA,1.5,1.5,7.6,0.13075535752174836,Q1_LeastVulnerable,0
MO,5.6,5.3,10.2,0.5184065351156376,Q3,0
FL,8.1,4.9,7.6,0.4602694674305113,Q2,0
AZ,9.7,6.3,11.0,0.709102482495226,Q4_MostVulnerable,1
OH,14.5,6.6,11.3,0.8148207086781243,Q4_MostVulnerable,1
AK,9.6,6.8,8.6,0.6261404625503925,Q3,0
WV,14.7,6.8,14.8,0.8941226395077445,Q4_MostVulnerable,1
FL,5.5,1.4,6.7,0.18422448546573308,Q1_LeastVulnerable,0
NC,0.9,4.4,6.0,0.20671546785486952,Q1_LeastVulnerable,0
ME,13.1,4.5,11.9,0.7017292594950137,Q3,0
CA,6.6,5.9,6.2,0.4258964566093783,Q2,0
MI,3.8,3.0,8.8,0.2741884150222788,Q1_LeastVulnerable,0
MS,16.9,8.8,14.6,0.9533736473583705,Q4_MostVulnerable,1
TN,4.1,4.9,3.1,0.25758540207935493,Q1_LeastVulnerable,0
OK,5.7,4.3,8.4,0.3835667303203904,Q2,0
CA,8.4,5.3,7.6,0.49114152344578815,Q3,0
FL,7.8,5.0,11.1,0.5994589433481858,Q3,0
IL,5.1,0.5,4.7,0.11033312115425419,Q1_LeastVulnerable,0
CA,11.7,5.7,10.1,0.6857097390197326,Q3,0
MA,4.2,1.6,7.8,0.1947803946530872,Q1_LeastVulnerable,0
WI,14.0,6.5,12.1,0.8309463186929769,Q4_MostVulnerable,1
MN,18.5,5.8,15.8,0.8911521323997453,Q4_MostVulnerable,1
OR,9.2,3.0,6.6,0.3352429450456185,Q2,0
ND,9.3,7.2,13.0,0.7883513685550604,Q4_MostVulnerable,1
TN,4.0,4.8,8.1,0.3604392106938256,Q2,0
FL,21.7,8.5,18.6,0.9837683004455761,Q4_MostVulnerable,1
PA,3.6,3.3,8.5,0.27153617653299383,Q1_LeastVulnerable,0
TX,8.6,4.2,9.3,0.4935815828559304,Q3,0
CO,15.4,7.5,10.1,0.8047422024188414,Q4_MostVulnerable,1
IA,4.7,2.4,6.2,0.17504774029280712,Q1_LeastVulnerable,0
WA,7.8,5.8,12.1,0.675790367069807,Q3,0
PA,4.2,2.9,9.9,0.3275514534266921,Q2,0
IL,11.6,4.9,9.6,0.6168045830681095,Q3,0
MO,13.9,6.2,6.3,0.5988754508805432,Q3,0
KY,3.9,2.3,6.5,0.16051347337152558,Q1_LeastVulnerable,0
MI,1.7,3.0,5.3,0.11675153829832378,Q1_LeastVulnerable,0
IA,0.5,1.3,4.8,0.039253129641417354,Q1_LeastVulnerable,0
ID,4.8,4.1,8.4,0.34479100360704434,Q2,0
NC,8.0,6.2,10.8,0.6564820708678124,Q3,0
PA,15.9,5.7,14.9,0.8596435391470401,Q4_MostVulnerable,1
TX,9.2,4.6,10.5,0.5824315722469765,Q3,0
CO,7.5,4.9,5.2,0.3715255675790366,Q2,0
TN,12.1,5.0,10.4,0.6642266072565245,Q3,0
GA,11.1,6.0,15.2,0.8105771270952684,Q4_MostVulnerable,1
LA,6.6,4.8,9.1,0.46955230214300875,Q2,0
TX,2.7,4.4,7.1,0.269573520050923,Q1_LeastVulnerable,0
MA,12.8,4.9,12.1,0.7300551665605771,Q4_MostVulnerable,1
DE,9.2,3.4,10.4,0.5028644175684277,Q3,0
CO,2.6,2.3,1.5,0.0733078718438362,Q1_LeastVulnerable,0
MI,9.6,3.4,9.3,0.46748355612136644,Q2,0
PA,5.2,4.4,7.5,0.3424570337364736,Q2,0
WY,15.7,5.0,15.4,0.8223530659876936,Q4_MostVulnerable,1
PA,4.3,6.8,7.3,0.43809675366008904,Q2,0
TX,13.1,7.9,8.3,0.7077233184807978,Q3,0
OR,16.9,7.1,14.3,0.9185762783789518,Q4_MostVulnerable,1
TX,6.1,5.1,6.5,0.37571610439210695,Q2,0
CA,8.0,1.9,6.5,0.25885847655421174,Q1_LeastVulnerable,0
VA,10.3,8.9,8.5,0.6783895607893062,Q3,0
KY,9.2,3.9,10.7,0.5455124124761298,Q3,0
VA,2.4,2.5,8.7,0.2187566305962232,Q1_LeastVulnerable,0
CA,6.1,1.1,9.0,0.2791215786123488,Q1_LeastVulnerable,0
OH,14.0,6.9,13.3,0.8699872692552515,Q4_MostVulnerable,1
OK,6.7,2.4,9.3,0.34617016762147257,Q2,0
WY,16.9,7.2,13.7,0.9154996817313812,Q4_MostVulnerable,1
PA,13.8,5.3,13.3,0.794239338001273,Q4_MostVulnerable,1
KY,6.9,2.4,3.6,0.1950986632718014,Q1_LeastVulnerable,0
MO,5.8,2.5,8.1,0.27673456397199236,Q1_LeastVulnerable,0
KS,3.4,3.4,4.6,0.1587099511988118,Q1_LeastVulnerable,0
DE,3.6,1.1,9.1,0.21923403352429452,Q1_LeastVulnerable,0
GA,6.7,2.9,8.1,0.31959473795883725,Q2,0
FL,5.2,4.6,7.7,0.3626670910248249,Q2,0
MO,7.1,8.0,5.6,0.4916189263738595,Q3,0
TX,13.1,6.7,13.6,0.8534373010821134,Q4_MostVulnerable,1
UT,9.2,3.4,10.8,0.5196796095904944,Q3,0
CA,12.3,5.1,12.3,0.7388075535752175,Q4_MostVulnerable,1
CA,7.2,4.2,7.0,0.36823679185232333,Q2,0
GA,9.2,4.2,8.0,0.455389348610227,Q2,0
GA,6.7,5.4,8.8,0.4966051347337152,Q3,0
CA,6.8,4.4,7.0,0.370411627413537,Q2,0
KY,18.0,8.8,14.9,0.9630808402291535,Q4_MostVulnerable,1
NV,5.6,3.2,3.5,0.19302991725015914,Q1_LeastVulnerable,0
MT,10.0,7.0,9.0,0.6573838319541693,Q3,0
MO,4.6,3.1,10.9,0.38531720772331846,Q2,0
IN,17.7,5.8,14.7,0.8783683428813919,Q4_MostVulnerable,1
OH,4.1,6.5,7.4,0.4258964566093783,Q2,0
TN,4.4,0.6,11.1,0.31614682792276677,Q2,0
IA,14.1,5.1,7.4,0.5805219605346913,Q3,0
CA,10.4,4.2,8.6,0.5045088054317844,Q3,0
IL,6.7,7.8,7.6,0.5411096965839168,Q3,0
CO,11.4,8.1,12.4,0.8370464672183323,Q4_MostVulnerable,1
MI,7.6,6.5,10.5,0.645448758752387,Q3,0
CO,5.8,3.2,6.1,0.2375875238701464,Q1_LeastVulnerable,0
MA,6.5,7.6,10.3,0.6383407596011033,Q3,0
FL,16.4,7.5,12.4,0.893857415658816,Q4_MostVulnerable,1
OK,13.0,7.4,13.9,0.8782622533418204,Q4_MostVulnerable,1
AZ,10.1,5.3,8.0,0.544239338001273,Q3,0
MO,8.4,4.4,9.0,0.49013367281986,Q3,0
CO,6.1,3.5,7.1,0.2952471886272014,Q2,0
AL,5.9,3.5,10.1,0.41035433906216845,Q2,0
TX,12.6,6.7,10.3,0.751220029705071,Q4_MostVulnerable,1
NC,2.8,3.4,6.3,0.18151920220666243,Q1_LeastVulnerable,0
CA,2.1,2.6,7.0,0.15398896668788456,Q1_LeastVulnerable,0
NC,11.2,7.6,11.7,0.8065457245915552,Q4_MostVulnerable,1
NM,5.4,0.0,9.5,0.27201357946106514,Q1_LeastVulnerable,0
MI,14.1,7.0,12.5,0.8583174199023977,Q4_MostVulnerable,1
LA,13.3,7.1,10.8,0.7937088903034161,Q4_MostVulnerable,1
TX,8.2,6.2,8.4,0.5630702312751963,Q3,0
GA,13.3,5.9,11.7,0.7817738171016337,Q4_MostVulnerable,1
KY,13.5,6.4,12.3,0.8244218120093358,Q4_MostVulnerable,1
IN,15.4,8.1,12.4,0.893857415658816,Q4_MostVulnerable,1
PA,6.0,6.0,8.0,0.47761510715043504,Q2,0
VT,1.7,2.1,2.8,0.0545830681094844,Q1_LeastVulnerable,0
TN,0.4,2.5,6.5,0.11431147888818162,Q1_LeastVulnerable,0
SC,13.3,8.5,12.0,0.8633036282622534,Q4_MostVulnerable,1
WI,7.7,1.1,10.8,0.39958625079567156,Q2,0
OH,3.6,2.0,6.8,0.15446636961595586,Q1_LeastVulnerable,0
OR,8.7,6.8,5.9,0.50986632718014,Q3,0
WI,7.5,5.9,8.0,0.5156482070867813,Q3,0
AL,8.2,5.2,8.7,0.5227031614682792,Q3,0
NY,6.9,3.4,10.0,0.4301400381922343,Q2,0
OK,11.9,4.3,6.8,0.47512200297050716,Q2,0
VT,3.7,2.2,6.9,0.16618926373859536,Q1_LeastVulnerable,0
TX,7.3,6.5,9.7,0.6063547634203267,Q3,0
TN,5.1,2.6,6.2,0.19297687248037343,Q1_LeastVulnerable,0
WA,10.9,5.4,10.6,0.6717589645660937,Q3,0
MS,4.8,2.3,6.1,0.17016762147252282,Q1_LeastVulnerable,0
AL,2.9,4.1,5.0,0.19499257373223,Q1_LeastVulnerable,0
AL,9.8,4.1,9.1,0.50530447697857,Q3,0
MO,9.2,4.6,8.2,0.4894971355824316,Q3,0
ME,2.3,0.2,7.5,0.12131338849989391,Q1_LeastVulnerable,0
MA,14.2,3.8,10.6,0.626405686399321,Q3,0
KY,9.5,4.9,7.9,0.5052514322087842,Q3,0
VT,6.2,1.9,11.6,0.40489072777424145,Q2,0
IA,1.2,5.5,7.5,0.32654360280076383,Q2,0
TX,12.5,2.7,7.5,0.4176214725228092,Q2,0
TX,9.2,3.5,8.0,0.4124230850838107,Q2,0
MN,10.8,5.3,10.9,0.6760025461489496,Q3,0
MA,9.6,4.3,10.4,0.5680564396350519,Q3,0
PA,1.8,0.9,2.9,0.028856354763420328,Q1_LeastVulnerable,0
OH,6.5,2.5,10.6,0.39629747506895824,Q2,0
IN,12.7,4.3,13.0,0.7096329301930829,Q4_MostVulnerable,1
CA,2.6,2.3,7.3,0.15992998090388288,Q1_LeastVulnerable,0
GA,7.2,7.1,11.3,0.6854445151708042,Q3,0
CA,3.2,3.1,7.5,0.2149904519414386,Q1_LeastVulnerable,0
IL,11.8,7.3,11.8,0.8143963505198387,Q4_MostVulnerable,1
GA,7.7,5.1,12.0,0.6316571186081053,Q3,0
NY,11.5,7.1,13.0,0.8297793337576915,Q4_MostVulnerable,1
WA,11.0,1.1,8.8,0.3939635051983874,Q2,0
ND,17.4,6.8,15.0,0.9199023976235944,Q4_MostVulnerable,1
VA,16.9,9.0,12.1,0.9120517716953108,Q4_MostVulnerable,1
PA,2.7,1.9,7.3,0.14857840016974325,Q1_LeastVulnerable,0
OK,10.3,7.7,11.1,0.7693613409717802,Q4_MostVulnerable,1
LA,18.3,9.7,11.4,0.9033524294504561,Q4_MostVulnerable,1
IN,9.4,4.1,9.5,0.5147994907702101,Q3,0
TN,19.4,7.1,15.2,0.9396880967536602,Q4_MostVulnerable,1
TX,6.8,2.5,7.5,0.28267557818799066,Q1_LeastVulnerable,0
MA,13.6,5.1,12.4,0.7615637598132824,Q4_MostVulnerable,1
AL,18.0,5.5,15.6,0.8708890303416084,Q4_MostVulnerable,1
RI,4.1,3.9,7.0,0.26474644600042435,Q1_LeastVulnerable,0
IL,7.1,1.9,9.0,0.3281879906641205,Q2,0
AL,18.1,8.3,16.8,0.9697644812221515,Q4_MostVulnerable,1
SC,8.8,5.6,10.3,0.6252387014640356,Q3,0
MS,12.0,3.1,11.4,0.5848185868873329,Q3,0
ND,13.5,8.4,9.8,0.7851156375981327,Q4_MostVulnerable,1
UT,5.5,4.4,9.1,0.4138552938680246,Q2,0
MS,12.3,6.8,11.8,0.8061744112030554,Q4_MostVulnerable,1
MN,10.5,4.0,12.8,0.6446000424358158,Q3,0
IL,5.3,4.5,7.7,0.3593252705283259,Q2,0
IL,6.2,5.5,4.4,0.3567791215786123,Q2,0
SC,18.3,7.3,10.7,0.8460110333121155,Q4_MostVulnerable,1
MA,4.2,6.3,8.6,0.46796095904943774,Q2,0
CO,13.1,6.0,10.4,0.7337152556757904,Q4_MostVulnerable,1
CA,9.2,6.5,10.5,0.6851262465520899,Q3,0
MI,13.7,6.5,12.1,0.8264375132611925,Q4_MostVulnerable,1
MI,12.8,6.7,11.1,0.787343517929132,Q4_MostVulnerable,1
NY,8.3,2.0,9.0,0.3633036282622533,Q2,0
MI,5.6,4.2,6.0,0.289677487799703,Q2,0
CO,16.7,5.9,13.3,0.8584765542117547,Q4_MostVulnerable,1
MN,15.1,5.3,11.4,0.7615637598132823,Q4_MostVulnerable,1
TX,9.7,7.5,9.1,0.6697963080840229,Q3,0
CO,8.8,4.3,8.8,0.4844048376830044,Q2,0
OH,3.8,1.6,6.4,0.13393804370889031,Q1_LeastVulnerable,0
NV,13.3,5.5,13.5,0.8000742626777,Q4_MostVulnerable,1
OR,17.3,5.2,13.4,0.8259601103331212,Q4_MostVulnerable,1
CO,3.7,5.3,8.9,0.41486314449395284,Q2,0
VA,4.3,2.2,10.2,0.31248673880755357,Q2,0
NM,5.6,4.5,9.5,0.44037767876087414,Q2,0
TN,5.7,5.8,8.9,0.49464247825164437,Q3,0
GA,8.3,3.7,9.8,0.4769255251432209,Q2,0
OR,7.8,5.1,10.6,0.5837576914916189,Q3,0
PA,3.5,1.5,6.9,0.14194780394653086,Q1_LeastVulnerable,0
KY,17.6,11.0,15.8,0.9780394653087207,Q4_MostVulnerable,1
KY,4.3,4.7,8.4,0.3740717165287502,Q2,0
NY,8.0,4.1,8.3,0.43056439635051985,Q2,0
CA,5.1,2.4,9.3,0.30055166560577123,Q2,0
OK,15.2,6.4,12.8,0.856142584341184,Q4_MostVulnerable,1
AR,6.5,3.4,8.0,0.33407596011033314,Q2,0
CT,9.1,7.7,8.6,0.6397199236155315,Q3,0
NC,18.1,5.6,14.4,0.8662741353702524,Q4_MostVulnerable,1
CA,6.8,4.2,10.4,0.48976235943136004,Q3,0
WV,9.9,4.9,11.7,0.6636431147888818,Q3,0
TX,4.7,3.2,8.0,0.27455972841077875,Q1_LeastVulnerable,0
NY,7.9,4.2,10.2,0.5132611924464249,Q3,0
SD,11.6,5.3,13.3,0.7585932527052832,Q4_MostVulnerable,1
TX,3.7,4.4,6.5,0.269573520050923,Q1_LeastVulnerable,0
GA,6.9,5.0,6.2,0.38568852111181834,Q2,0
TN,10.1,5.7,12.7,0.7385953744960747,Q4_MostVulnerable,1
DE,2.2,0.0,5.0,0.04598981540420114,Q1_LeastVulnerable,0
LA,11.3,5.9,9.3,0.6547315934648844,Q3,0
MO,9.6,2.4,6.2,0.3050604710375557,Q2,0
OH,5.9,4.7,9.1,0.44350732017823047,Q2,0
AZ,8.6,6.8,6.1,0.5135264162953533,Q3,0
IL,18.0,6.0,12.5,0.8564608529598982,Q4_MostVulnerable,1
NJ,2.9,2.5,7.6,0.18634627625716105,Q1_LeastVulnerable,0
IA,8.3,3.6,10.6,0.5015913430935709,Q3,0
PA,15.1,8.4,11.3,0.8627731805643964,Q4_MostVulnerable,1
NY,4.8,3.6,7.1,0.2666030129429238,Q1_LeastVulnerable,0
FL,6.4,6.5,6.5,0.4553363038404414,Q2,0
CO,13.9,6.8,10.9,0.7984298748143432,Q4_MostVulnerable,1
NY,8.3,4.9,9.7,0.5499151283683429,Q3,0
MA,5.6,3.8,6.8,0.2915870995119881,Q2,0
CO,3.4,4.3,6.2,0.24724167197114363,Q1_LeastVulnerable,0
IN,12.7,3.2,8.4,0.4791534054742202,Q2,0
IL,19.3,7.9,16.9,0.9687566305962232,Q4_MostVulnerable,1
CA,9.2,4.7,10.6,0.593093570973902,Q3,0
MO,12.3,6.8,12.7,0.8281349458943348,Q4_MostVulnerable,1
PA,5.9,3.5,10.5,0.424729471674093,Q2,0
MT,4.2,1.7,5.4,0.12110120942075113,Q1_LeastVulnerable,0
TN,3.0,2.9,5.8,0.1453426692128156,Q1_LeastVulnerable,0
CA,11.0,3.7,6.7,0.4164014428177381,Q2,0
ME,15.2,3.7,18.9,0.7441120305537874,Q4_MostVulnerable,1
NJ,7.1,5.2,8.2,0.47374283895607894,Q2,0
NC,12.2,6.5,13.2,0.8273392743475494,Q4_MostVulnerable,1
OH,7.9,5.1,6.5,0.4280182474008063,Q2,0
OK,11.4,7.4,12.7,0.8310524082325483,Q4_MostVulnerable,1
NY,6.8,3.0,12.1,0.4818056439635052,Q2,0
CA,1.4,0.3,5.6,0.04832378527477191,Q1_LeastVulnerable,0
OH,4.9,3.4,5.4,0.20650328877572674,Q1_LeastVulnerable,0
OK,5.7,3.2,7.6,0.28676002546148954,Q1_LeastVulnerable,0
